,RESOLUCAO,EMPRESA,AUTORIZACAO,MARCA,PROCESSO,REGISTRO,VENDA E EMPREGO,VENCIMENTO,APRESENTACAO,VALIDADE PRODUTO,CATEGORIA,ASSUNTO PETICAO,EXPEDIENTE E PETICAO,VERSAO
263,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", LIMSEPT DO BRASIL INDÚSTRIA QUÍMICA LTDA - ME, 3.04255-2, BAC SEPT PLUS, 25351.092932/2017-05, 3.4255.0045.016-9," PRODUTO DE VENDA LIVRE,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA", 05/2027, FRASCO DE PLASTICO OPACO + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2954859/20-2, MARINE
264,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", LIMSEPT DO BRASIL INDÚSTRIA QUÍMICA LTDA - ME, 3.04255-2, BAC SEPT PLUS, 25351.092932/2017-05, 3.4255.0045.017-7," PRODUTO DE VENDA LIVRE,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA", 05/2027, BOMBONA PLASTICA OPACA + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2954859/20-2, MARINE
265,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", LIMSEPT DO BRASIL INDÚSTRIA QUÍMICA LTDA - ME, 3.04255-2, BAC SEPT PLUS, 25351.092932/2017-05, 3.4255.0045.018-5," PRODUTO DE VENDA LIVRE,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA", 05/2027, BOMBONA PLASTICA OPACA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2954859/20-2,
266,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", MUNDO INDUSTRIAL LTDA, 3.07770-0, ÁGUA SANITÁRIA ARES, 25351.929872/2020-54, 3.7770.0002.001-9, PRODUTO DE VENDA LIVRE, 12/2030, FRASCO DE PLASTICO OPACO + CAIXA DE PAPELAO, 6 Meses, 3103033 ÁGUA SANITÁRIA, 30020 REG. SANEANTES - Registro de produtos saneantes,,
267,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", MUNDO INDUSTRIAL LTDA, 3.07770-0, ÁGUA SANITÁRIA ARES, 25351.929872/2020-54, 3.7770.0002.002-7, PRODUTO DE VENDA LIVRE, 12/2030, GALAO PLASTICO + CAIXA DE PAPELAO, 6 Meses, 3103033 ÁGUA SANITÁRIA, 30020 REG. SANEANTES - Registro de produtos saneantes,,
268,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.001-0, PRODUTO DE VENDA LIVRE, 12/2030, LAVANDA + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
269,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.002-9, PRODUTO DE VENDA LIVRE, 12/2030, LAVANDA + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
270,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.003-7, PRODUTO DE VENDA LIVRE, 12/2030, KAIAK + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
271,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.004-5, PRODUTO DE VENDA LIVRE, 12/2030, KAIAK + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
272,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.005-3, PRODUTO DE VENDA LIVRE, 12/2030, FLORAL + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
273,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.006-1, PRODUTO DE VENDA LIVRE, 12/2030, FLORAL + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
274,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.007-1, PRODUTO DE VENDA LIVRE, 12/2030, HERBAL + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
275,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.008-8, PRODUTO DE VENDA LIVRE, 12/2030, HERBAL + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
276,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.009-6, PRODUTO DE VENDA LIVRE, 12/2030, AMARIGER + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
277,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.010-1, PRODUTO DE VENDA LIVRE, 12/2030, AMARIGER + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
278,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.011-8, PRODUTO DE VENDA LIVRE, 12/2030, CARIBEAN + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
279,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.012-6, PRODUTO DE VENDA LIVRE, 12/2030, CARIBEAN + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
280,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.013-4, PRODUTO DE VENDA LIVRE, 12/2030, EUCALIPTO + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
281,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.014-2, PRODUTO DE VENDA LIVRE, 12/2030, EUCALIPTO + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
282,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.015-0, PRODUTO DE VENDA LIVRE, 12/2030, FANTASIA + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
283,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.016-9, PRODUTO DE VENDA LIVRE, 12/2030, FANTASIA + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
284,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.017-7, PRODUTO DE VENDA LIVRE, 12/2030, GARDEN + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
285,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.018-5, PRODUTO DE VENDA LIVRE, 12/2030, GARDEN + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
286,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.019-3, PRODUTO DE VENDA LIVRE, 12/2030, PINHO + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
287,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.020-7, PRODUTO DE VENDA LIVRE, 12/2030, PINHO + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
288,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.021-5, PRODUTO DE VENDA LIVRE, 12/2030, IGUATEMI + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
289,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.022-3, PRODUTO DE VENDA LIVRE, 12/2030, IGUATEMI + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
290,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.023-1, PRODUTO DE VENDA LIVRE, 12/2030, JARDINS + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
291,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.024-1, PRODUTO DE VENDA LIVRE, 12/2030, JARDINS + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
292,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.025-8, PRODUTO DE VENDA LIVRE, 12/2030, MARINER + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
293,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.026-6, PRODUTO DE VENDA LIVRE, 12/2030, MARINER + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
294,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.027-4, PRODUTO DE VENDA LIVRE, 12/2030, LUXURIA + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
295,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.028-2, PRODUTO DE VENDA LIVRE, 12/2030, LUXURIA + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
296,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.029-0, PRODUTO DE VENDA LIVRE, 12/2030, LEMON GRASS + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
297,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.030-4, PRODUTO DE VENDA LIVRE, 12/2030, LEMON GRASS + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
298,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.031-2, PRODUTO DE VENDA LIVRE, 12/2030, FRUTAL + FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
299,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", normando jose nossa villar, 3.08155-2, ULTRAPLUS, 25351.924129/2020-16, 3.8155.0005.032-0, PRODUTO DE VENDA LIVRE, 12/2030, FRUTAL + GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 30020 REG. SANEANTES - Registro de produtos saneantes,,
300,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.001-5, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, SACHET + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, CAPIM LIMÃO
301,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.002-3, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, BOMBONA PLASTICA + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, CAPIM LIMÃO
302,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.003-1, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, BALDE + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, CAPIM LIMÃO
303,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.004-1, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, ENVELOPE + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, CAPIM LIMÃO
304,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.005-8, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, SACHET + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, LAVANDA E CAMOMILA
305,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.006-6, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, BOMBONA PLASTICA + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, LAVANDA E CAMOMILA
306,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.007-4, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, BALDE + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, LAVANDA E CAMOMILA
307,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.008-2, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, ENVELOPE + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, LAVANDA E CAMOMILA
308,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.009-0, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, SACHET + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, BAMBOO
309,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.010-4, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, BOMBONA PLASTICA + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, BAMBOO
310,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.011-2, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, BALDE + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, BAMBOO
311,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.012-0, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, ENVELOPE + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, BAMBOO
312,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.013-9, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, SACHET + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, INODORO
313,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.014-7, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, BOMBONA PLASTICA + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, INODORO
314,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.015-5, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, BALDE + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, INODORO
315,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, BLANCO WIPE, 25351.396857/2020-17, 3.1003.0121.016-3, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 06/2030, ENVELOPE + CAIXA DE PAPELAO, 24 Meses, 3205061 DESINFETANTE PARA USO GERAL, 389 REG. SANEANTES - Alteração de Rotulagem de Produto, 2862840/20-3, INODORO
316,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, HIGINDOOR DETERGENTE LAVAGEM MECÂNICA 266, 25351.807052/2020-11, 3.1003.0122.001-0, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 12/2030, sem nome + BOMBONA PLASTICA OPACA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 6 Meses, 3207031 DETERGENTE PARA LAVAR LOUÇAS, 30020 REG. SANEANTES - Registro de produtos saneantes,,
317,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, HIGINDOOR DETERGENTE DESINFETANTE 615, 25351.940434/2020-47, 3.1003.0123.001-6, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 12/2030, FRASCO DE PLASTICO OPACO + CAIXA DE PAPELAO, 12 Meses, 3205029 DESINFETANTE HOSPITALAR PARA SUPERFÍCIES FIXAS E ARTIGOS NÃO CRÍTICOS, 30020 REG. SANEANTES - Registro de produtos saneantes,,
318,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, HIGINDOOR DETERGENTE DESINFETANTE 615, 25351.940434/2020-47, 3.1003.0123.002-4, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 12/2030, GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 12 Meses, 3205029 DESINFETANTE HOSPITALAR PARA SUPERFÍCIES FIXAS E ARTIGOS NÃO CRÍTICOS, 30020 REG. SANEANTES - Registro de produtos saneantes,,
319,"RESOLUÇÃO-RE Nº 5.389, DE 24 DE DEZEMBRO DE 2020", Oleak Indústria e Comércio Ltda, 3.01003-2, HIGINDOOR DETERGENTE DESINFETANTE 615, 25351.940434/2020-47, 3.1003.0123.003-2, PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA, 12/2030, BOMBONA PLASTICA OPACA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA, 12 Meses, 3205029 DESINFETANTE HOSPITALAR PARA SUPERFÍCIES FIXAS E ARTIGOS NÃO CRÍTICOS, 30020 REG. SANEANTES - Registro de produtos saneantes,,
